Program,DMP
Version,3.0
Copyright,2022-26
Contact,lars.jermiin@universityofgalway.ie
Reference,

Input file,nsp3.fas
Genetic code,Standard code

General,,Strand-indepent,Measures,,,,,,,,,,,,Strand-dependent,Measures
Sequence,Codons,Pobs_(GC),Pmin_(GC),Pmax_(GC),prop_(syn),Psyn_(GC),Pnon_(GC),PsynBAR,muD_(GC),SD_(GC),Pobs_(W|W),Pobs_(S|W),Pobs_(W|S),Pobs_(S|S),Sum_(4FD),prop_(4FD),Pobs_(A_4FD),Pobs_(C_4FD),Pobs_(G_4FD),Pobs_(T_4FD),Skew_(A_4FD),Skew_(G_4FD),muD_(A_4FD),SD_(A_4FD),muD_(C_4FD),SD_(C_4FD),muD_(G_4FD),SD_(G_4FD),muD_(T_4FD),SD_(T_4FD),Pobs_(A|A),Pobs_(A|B),Pobs_(B|A),Pobs_(B|B),Pobs_(C|C),Pobs_(C|D),Pobs_(D|C),Pobs_(D|D),Pobs_(G|G),Pobs_(G|H),Pobs_(H|G),Pobs_(H|H),Pobs_(T|T),Pobs_(T|V),Pobs_(V|T),Pobs_(V|V),
alpha_HM245926.1,1494,0.362784,0.263498,0.622044,0.358545,0.276914,0.410783,0.500292,0.276752,0.011160,0.342035,0.312584,0.193440,0.151941,617,0.412985,0.262561,0.108590,0.095624,0.533225,0.329939,0.468254,0.508374,0.020126,0.217180,0.016600,0.191248,0.015833,0.688817,0.018639,0.138554,0.159973,0.204150,0.497323,0.034137,0.090361,0.165997,0.709505,0.049531,0.290495,0.095716,0.564257,0.099063,0.137885,0.212851,0.550201
alpha_JX504050.1,1563,0.317765,0.249947,0.614417,0.364470,0.186074,0.393289,0.498783,0.186528,0.009423,0.372361,0.301983,0.177863,0.147793,619,0.396033,0.190630,0.056543,0.029079,0.723748,0.208481,0.339623,0.381260,0.019522,0.113086,0.012729,0.058158,0.009407,0.815832,0.015580,0.127959,0.165707,0.184901,0.521433,0.028791,0.097249,0.143314,0.730646,0.062700,0.261036,0.090851,0.585413,0.129878,0.126679,0.231606,0.511836
alpha_KP143512.1,1509,0.370002,0.261763,0.622708,0.360945,0.299878,0.409609,0.500870,0.299357,0.011330,0.331345,0.328694,0.188867,0.151093,638,0.422797,0.263323,0.109718,0.086207,0.540752,0.327485,0.440000,0.508882,0.019792,0.219436,0.016385,0.172414,0.014955,0.693835,0.018247,0.133863,0.168323,0.209410,0.488403,0.030484,0.107356,0.166998,0.695162,0.054341,0.287608,0.088138,0.569914,0.092114,0.125911,0.224652,0.557323
alpha_KY770851.1,1639,0.403091,0.277812,0.639618,0.361806,0.346262,0.435309,0.502078,0.344829,0.011269,0.320927,0.309945,0.171446,0.197682,716,0.436852,0.196927,0.131285,0.114525,0.557263,0.261111,0.465909,0.393855,0.018260,0.262570,0.016445,0.229050,0.015704,0.704842,0.017046,0.129957,0.154973,0.192190,0.522880,0.035387,0.107383,0.162904,0.694326,0.062843,0.302013,0.107993,0.527151,0.094570,0.112874,0.214155,0.578401
alpha_MN065811.1,1587,0.399706,0.273682,0.637891,0.364209,0.346021,0.430459,0.501600,0.344917,0.011415,0.324512,0.305608,0.182105,0.187776,709,0.446755,0.183357,0.149506,0.114245,0.552891,0.249042,0.433155,0.366714,0.018098,0.299013,0.017194,0.228491,0.015768,0.701928,0.017178,0.116572,0.156270,0.192187,0.534972,0.040328,0.115312,0.172023,0.672338,0.063012,0.274732,0.094518,0.567738,0.103970,0.129805,0.217391,0.548834
alpha_MH938448.1,1590,0.413417,0.278616,0.636059,0.357442,0.377126,0.433605,0.503128,0.374782,0.011723,0.305031,0.325786,0.188679,0.180503,719,0.452201,0.158554,0.157163,0.086231,0.598053,0.209559,0.354286,0.317107,0.017355,0.314325,0.017313,0.172462,0.014089,0.732035,0.016517,0.122013,0.155346,0.188679,0.533962,0.043396,0.111950,0.162893,0.681761,0.055346,0.295597,0.107547,0.541509,0.092453,0.123899,0.227673,0.555975
alpha_NC_002645.1,1586,0.359605,0.264397,0.627995,0.363598,0.261850,0.415456,0.500716,0.261475,0.010565,0.341740,0.314628,0.180328,0.163304,655,0.412989,0.203053,0.097710,0.085496,0.613740,0.248598,0.466667,0.406107,0.019189,0.195420,0.015493,0.170992,0.014711,0.742494,0.017085,0.129887,0.165195,0.196091,0.508827,0.032156,0.100883,0.155107,0.711854,0.056747,0.288146,0.099622,0.555485,0.104035,0.122951,0.226356,0.546658
alpha_NC_022103.1,1662,0.403931,0.288006,0.650020,0.362014,0.320222,0.451430,0.503122,0.318235,0.010964,0.298436,0.311071,0.194344,0.196149,757,0.455475,0.223250,0.141347,0.084544,0.550859,0.288396,0.374269,0.446499,0.018068,0.282695,0.016367,0.169089,0.013623,0.700572,0.016647,0.107702,0.156438,0.194344,0.541516,0.037304,0.102888,0.177497,0.682310,0.067389,0.299639,0.108303,0.524669,0.104091,0.124549,0.203369,0.567990
alpha_NC_034972.1,1432,0.391061,0.273976,0.638501,0.364525,0.321201,0.431136,0.503689,0.318848,0.011777,0.310754,0.303073,0.210196,0.175978,622,0.434358,0.163987,0.163987,0.096463,0.575563,0.221739,0.370370,0.327974,0.018824,0.327974,0.018824,0.192926,0.015822,0.717042,0.018061,0.120810,0.161313,0.189944,0.527933,0.023743,0.111034,0.168296,0.696927,0.065642,0.278631,0.128492,0.527235,0.099162,0.139665,0.203911,0.557263
alpha_NC_035191.1,1533,0.310937,0.240922,0.597304,0.356382,0.196461,0.374324,0.498767,0.196947,0.009823,0.396608,0.312459,0.162427,0.128506,531,0.346380,0.273070,0.099812,0.096045,0.531073,0.339578,0.490385,0.515380,0.021688,0.199623,0.017346,0.192090,0.017096,0.687382,0.020117,0.169602,0.156556,0.212655,0.461187,0.016960,0.079583,0.125897,0.777560,0.056099,0.288324,0.091977,0.563601,0.119374,0.113503,0.207436,0.559687
