Program,DMP
Version,3.0
Copyright,2022-26
Contact,lars.jermiin@universityofgalway.ie
Reference,

Input file,str_envelope.fas
Genetic code,Standard code

General,,Strand-indepent,Measures,,,,,,,,,,,,Strand-dependent,Measures
Sequence,Codons,Pobs_(GC),Pmin_(GC),Pmax_(GC),prop_(syn),Psyn_(GC),Pnon_(GC),PsynBAR,muD_(GC),SD_(GC),Pobs_(W|W),Pobs_(S|W),Pobs_(W|S),Pobs_(S|S),Sum_(4FD),prop_(4FD),Pobs_(A_4FD),Pobs_(C_4FD),Pobs_(G_4FD),Pobs_(T_4FD),Skew_(A_4FD),Skew_(G_4FD),muD_(A_4FD),SD_(A_4FD),muD_(C_4FD),SD_(C_4FD),muD_(G_4FD),SD_(G_4FD),muD_(T_4FD),SD_(T_4FD),Pobs_(A|A),Pobs_(A|B),Pobs_(B|A),Pobs_(B|B),Pobs_(C|C),Pobs_(C|D),Pobs_(D|C),Pobs_(D|D),Pobs_(G|G),Pobs_(G|H),Pobs_(H|G),Pobs_(H|H),Pobs_(T|T),Pobs_(T|V),Pobs_(V|T),Pobs_(V|V),
alpha_HM245926.1,82,0.337398,0.231707,0.597561,0.365854,0.288889,0.365385,0.487013,0.296593,0.048146,0.451220,0.243902,0.146341,0.158537,32,0.390244,0.312500,0.062500,0.156250,0.468750,0.400000,0.714286,0.541667,0.088081,0.125000,0.058463,0.312500,0.081938,0.645833,0.084545,0.134146,0.243902,0.073171,0.548780,0.048780,0.073171,0.121951,0.756098,0.012195,0.268293,0.121951,0.597561,0.109756,0.109756,0.378049,0.402439
alpha_JX504050.1,77,0.303030,0.203463,0.575758,0.372294,0.267442,0.324138,0.497653,0.268703,0.047801,0.467532,0.298701,0.116883,0.116883,27,0.350649,0.296296,0.222222,0.074074,0.407407,0.421053,0.250000,0.530864,0.096042,0.444444,0.095629,0.148148,0.068367,0.604938,0.094082,0.064935,0.220779,0.181818,0.532468,0.038961,0.168831,0.103896,0.688312,0.012987,0.194805,0.077922,0.714286,0.181818,0.116883,0.337662,0.363636
alpha_KP143512.1,82,0.353659,0.231707,0.593496,0.361789,0.337079,0.363057,0.492009,0.342553,0.050304,0.487805,0.231707,0.121951,0.158537,28,0.341463,0.357143,0.250000,0.035714,0.357143,0.500000,0.125000,0.571429,0.093522,0.500000,0.094491,0.071429,0.048670,0.571429,0.093522,0.085366,0.243902,0.134146,0.536585,0.036585,0.085366,0.134146,0.743902,0.024390,0.243902,0.085366,0.646341,0.182927,0.097561,0.317073,0.402439
alpha_KY770851.1,76,0.399123,0.228070,0.600877,0.372807,0.458824,0.363636,0.487269,0.470812,0.054140,0.407895,0.315789,0.118421,0.157895,30,0.394737,0.233333,0.266667,0.133333,0.366667,0.388889,0.333333,0.466667,0.091084,0.511111,0.091265,0.266667,0.080737,0.577778,0.090176,0.078947,0.236842,0.171053,0.513158,0.052632,0.171053,0.092105,0.684211,0.026316,0.223684,0.105263,0.644737,0.078947,0.131579,0.394737,0.394737
alpha_MH938448.1,75,0.355556,0.226667,0.608889,0.382222,0.337209,0.366906,0.496377,0.339671,0.051069,0.453333,0.266667,0.106667,0.173333,28,0.373333,0.321429,0.285714,0.071429,0.321429,0.500000,0.200000,0.547619,0.094062,0.523810,0.094384,0.142857,0.066130,0.547619,0.094062,0.066667,0.213333,0.146667,0.573333,0.040000,0.133333,0.120000,0.706667,0.026667,0.240000,0.093333,0.640000,0.173333,0.106667,0.333333,0.386667
alpha_MN065811.1,76,0.377193,0.214912,0.605263,0.390351,0.415730,0.352518,0.500000,0.415730,0.052242,0.355263,0.368421,0.144737,0.131579,33,0.434211,0.303030,0.181818,0.121212,0.393939,0.434783,0.400000,0.535354,0.086821,0.363636,0.083739,0.242424,0.074601,0.595960,0.085421,0.078947,0.197368,0.144737,0.578947,0.039474,0.236842,0.052632,0.671053,0.039474,0.184211,0.144737,0.631579,0.105263,0.118421,0.394737,0.381579
alpha_NC_002645.1,77,0.337662,0.199134,0.567100,0.367965,0.376471,0.315068,0.490741,0.383574,0.052742,0.402597,0.376623,0.142857,0.077922,30,0.389610,0.333333,0.100000,0.200000,0.366667,0.476190,0.666667,0.555556,0.090722,0.200000,0.073030,0.400000,0.089443,0.577778,0.090176,0.103896,0.220779,0.168831,0.506494,0.038961,0.194805,0.064935,0.701299,0.012987,0.207792,0.103896,0.675325,0.077922,0.142857,0.428571,0.350649
alpha_NC_022103.1,74,0.355856,0.225225,0.608108,0.382883,0.341176,0.364964,0.496429,0.343631,0.051512,0.351351,0.364865,0.175676,0.108108,31,0.418919,0.161290,0.258065,0.000000,0.580645,0.217391,0.000000,0.322581,0.083959,0.505376,0.089797,0.000000,0.000000,0.720430,0.080605,0.040541,0.256757,0.175676,0.527027,0.040541,0.202703,0.081081,0.675676,0.054054,0.175676,0.108108,0.662162,0.094595,0.135135,0.405405,0.364865
alpha_NC_034972.1,78,0.341880,0.213675,0.602564,0.388889,0.329670,0.349650,0.502222,0.328212,0.049224,0.346154,0.410256,0.141026,0.102564,38,0.487179,0.157895,0.184211,0.078947,0.578947,0.214286,0.300000,0.315789,0.075405,0.368421,0.078252,0.157895,0.059153,0.719298,0.072893,0.076923,0.166667,0.141026,0.615385,0.051282,0.192308,0.089744,0.666667,0.038462,0.230769,0.064103,0.666667,0.115385,0.128205,0.423077,0.333333
alpha_NC_035191.1,75,0.320000,0.204444,0.591111,0.386667,0.298851,0.333333,0.501157,0.298160,0.049044,0.506667,0.253333,0.133333,0.106667,22,0.293333,0.181818,0.136364,0.272727,0.409091,0.307692,0.666667,0.363636,0.102559,0.272727,0.094951,0.515152,0.106551,0.606061,0.104174,0.080000,0.173333,0.173333,0.573333,0.040000,0.080000,0.093333,0.786667,0.013333,0.226667,0.093333,0.666667,0.253333,0.133333,0.253333,0.360000
